Verband,Regionalverband,Verein,Amtssprache,Besetzung
Thurgauer Kantonal-Musikverband,,Spiel der Kantonspolizei Thurgau Frauenfeld,DE,F/B
Thurgauer Kantonal-Musikverband,,Musikverein Kradolf-Schönenberg,DE,H
Thurgauer Kantonal-Musikverband,,Symphonisches Blasorchester Kreuzlingen,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Langrickenbach,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Märstetten,DE,H
Thurgauer Kantonal-Musikverband,,Brass Band Märwil,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Helvetia Mettlen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Müllheim,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Harmonie Münchwilen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Neukirch-Egnach,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Harmonie Rickenbach,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Roggwil,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Romanshorn,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Scherzingen,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Schlatt,DE,BB
Thurgauer Kantonal-Musikverband,,Musikverein Brass-Band Schlattingen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Sirnach,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Sommeri,DE,BB
Thurgauer Kantonal-Musikverband,,Stadtmusik Steckborn,DE,H
Thurgauer Kantonal-Musikverband,,Musik Stettfurt-Matzingen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Sulgen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Tägerschen-Tobel,DE,BB
Thurgauer Kantonal-Musikverband,,Musikverein Tägerwilen,DE,H
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Thundorf,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Thurtal Hüttlingen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Uesslingen,DE,F/B
Thurgauer Kantonal-Musikverband,,Musikverein Uttwil,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Alpenrösli Wängi,DE,H
Thurgauer Kantonal-Musikverband,,Musikverein Weinfelden,DE,H
Thurgauer Kantonal-Musikverband,,MG Brass Band Wilen,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,MG Brass Band Wilen,DE,BB
Thurgauer Kantonal-Musikverband,,Musikgesellschaft Wuppenau,DE,H
Solothurner Blasmusikverband,,Blasmusik Zuchwil,DE,H
Solothurner Blasmusikverband,,Brass Band Harmonie Wolfwil,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band Harmonie Wolfwil,DE,BB
Solothurner Blasmusikverband,,Brass Band Kappel,DE,BB
Solothurner Blasmusikverband,,Brass Band Breitenbach,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band Breitenbach,DE,BB
Solothurner Blasmusikverband,,Brass-Band Matzendorf,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass-Band Matzendorf,DE,BB
Solothurner Blasmusikverband,,Brass Band Solothurn,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band Solothurn,DE,BB
Solothurner Blasmusikverband,,Brass Band Seewen,DE,BB
Solothurner Blasmusikverband,,Brass Band Konkordia Büsserach,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band Konkordia Büsserach,DE,BB
Solothurner Blasmusikverband,,Harmoniemusikgesellschaft Fulenbach,DE,H
